Datetime,Close,High,Low,Open,Volume,pivot,pivot_1b,pivot_2b,pivot_type,pivot_type_1b,pivot_type_2b,pivot_kind,pivot_kind_1b,pivot_kind_2b
2007-01-02,4011.3,4019.9,3970.1,3977.0,12559200.0,,,,,,,,,
2007-01-03,4020.55,4028.9,3978.2,4014.0,16923400.0,,,,,,,,,
2007-01-04,3986.3,4030.0,3973.25,4029.0,21158700.0,,,,,,,,,
2007-01-05,3976.0,4007.85,3958.0,3980.0,19048800.0,,,,,,,,,
2007-01-08,3923.9,3957.15,3906.35,3954.0,22739300.0,,,,,,,,,
2007-01-09,3908.85,3960.0,3885.2,3911.75,27618200.0,,,,,,,,,
2007-01-10,3839.65,3880.0,3831.6,3880.0,28070700.0,9.927376657836058,,,high,,,0.0,,
2007-01-11,3953.1,3969.0,3813.0,3817.7,32159300.0,,,,,,,,,
2007-01-12,4058.7,4065.0,3976.0,3979.0,24667600.0,,,,,,,,,
2007-01-15,4082.65,4099.8,4072.0,4076.0,13902200.0,,,,,,,,,
2007-01-16,4079.8,4101.0,4066.5,4101.0,12504600.0,4.968337617804688,9.927376657836058,,low,high,,1.0,0.0,
2007-01-17,4074.45,4095.0,4069.3,4088.0,10120700.0,,,,,,,,,
2007-01-18,4110.4,4148.0,4076.25,4079.9,25525800.0,79.35339396148943,4.968337617804688,9.927376657836058,high,low,high,1.0,1.0,0.0
2007-01-19,4091.4,4141.3,4060.35,4129.9,25788800.0,79.12409615254465,79.35339396148943,4.968337617804688,high,high,low,1.0,1.0,1.0
2007-01-22,4108.35,4123.2,4072.05,4101.0,19476200.0,74.27381530719694,79.12409615254465,79.35339396148943,low,high,high,0.0,1.0,1.0
2007-01-23,4073.15,4105.0,4066.6,4091.1,20696700.0,,,,,,,,,
2007-01-24,4096.0,4104.0,4068.55,4075.0,17437600.0,133.30188570340832,74.27381530719694,79.12409615254465,high,low,high,0.0,0.0,1.0
2007-01-25,4147.7,4151.7,4090.4,4110.0,18318800.0,115.35242162779227,133.30188570340832,74.27381530719694,low,high,low,0.0,0.0,0.0
2007-01-29,4108.8,4145.0,4101.1,4135.0,13197100.0,,,,,,,,,
2007-01-31,4063.35,4127.9,4051.65,4100.0,25670100.0,121.78650472218209,115.35242162779227,133.30188570340832,high,low,high,1.0,0.0,0.0
2007-02-01,4138.35,4142.0,4071.1,4075.0,20090200.0,,,,,,,,,
2007-02-02,4174.2,4193.5,4154.0,4154.0,15574600.0,,,,,,,,,
2007-02-05,4205.2,4209.9,4166.1,4170.0,12849700.0,105.90021438268528,121.78650472218209,115.35242162779227,low,high,low,0.0,1.0,0.0
2007-02-06,4190.35,4216.95,4181.55,4210.0,15999200.0,136.45914662668693,105.90021438268528,121.78650472218209,high,low,high,0.0,0.0,1.0
2007-02-07,4219.1,4224.0,4177.1,4177.1,15056900.0,,,,,,,,,
2007-02-08,4215.8,4239.95,4185.0,4239.95,17370700.0,,,,,,,,,
2007-02-09,4177.2,4228.8,4168.1,4212.0,22557500.0,,,,,,,,,
2007-02-12,4053.6,4167.0,4035.6,4160.0,35355600.0,,,,,,,,,
2007-02-13,4040.3,4141.0,3992.15,4040.0,46579500.0,,,,,,,,,
2007-02-14,4058.2,4074.0,3974.3,4015.55,36628400.0,76.32829389371679,136.45914662668693,105.90021438268528,low,high,low,0.0,0.0,0.0
2007-02-15,4160.0,4168.7,4090.0,4090.0,26500000.0,,,,,,,,,
2007-02-19,4176.45,4183.4,4160.1,4165.15,14783200.0,,,,,,,,,
2007-02-20,4118.6,4179.0,4110.0,4179.0,20443300.0,4.304566954800027,76.32829389371679,136.45914662668693,low,low,high,1.0,0.0,0.0
2007-02-21,4108.85,4152.8,4096.0,4115.0,26199300.0,,,,,,,,,
