,Date,dev_from_poc_2,poc_2,vah_2,val_2,dev_from_vah_2,dev_from_val_2,dev_from_poc_5,poc_5,vah_5,val_5,dev_from_vah_5,dev_from_val_5,dev_from_poc_10,poc_10,vah_10,val_10,dev_from_vah_10,dev_from_val_10,dev_from_poc_21,poc_21,vah_21,val_21,dev_from_vah_21,dev_from_val_21,dev_from_poc_42,poc_42,vah_42,val_42,dev_from_vah_42,dev_from_val_42,dev_from_poc_63,poc_63,vah_63,val_63,dev_from_vah_63,dev_from_val_63,dev_from_poc_126,poc_126,vah_126,val_126,dev_from_vah_126,dev_from_val_126,dev_from_poc_252,poc_252,vah_252,val_252,dev_from_vah_252,dev_from_val_252,dev_from_poc_504,poc_504,vah_504,val_504,dev_from_vah_504,dev_from_val_504,High,Close,Low,Open,Volume
0,2009-11-04,0.028031234876020106,4582.351041666667,4693.971875000001,4550.459375,0.003585050240634269,0.035236140307262964,-0.016887207747741884,4791.71875,4846.46875,4654.84375,-0.027993319878519718,0.01202108019200443,-0.016901954058144875,4791.790625,4984.773958333333,4550.561458333334,-0.05496216290315736,0.03521291672112814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4717.8,4710.8,4565.0,4567.3,342878000000.0
1,2009-11-05,0.03297231793830391,4613.434375,4719.109375,4613.434375,0.009840972376276014,0.03297231793830391,0.004958973963574698,4742.034374999999,4820.821875,4636.984375,-0.011465239005537753,0.027726128578986264,-0.0006219178531055025,4768.515625,4856.140625,4549.453125,-0.018654860308951582,0.04749952775917432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4776.35,4765.55,4610.6,4711.65,337186000000.0
2,2009-11-06,0.0044082846432533795,4775.1,4831.5,4699.9,-0.007316568353513464,0.020479159131045366,0.02274025201197083,4689.509375,4847.084374999999,4636.984375,-0.010508250127170493,0.0343252450575704,-0.002357651968447727,4807.484375,4850.521875,4592.296875,-0.011209489700528485,0.0443902322843619,-0.04224155594269219,5007.682291666666,5168.544791666667,4793.198958333333,-0.07205022045413745,0.0006156726838004722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4836.2,4796.15,4764.85,4767.5,279504000000.0
3,2009-11-09,0.022379687654907165,4791.175,4837.975,4767.775000000001,0.012489729690624563,0.027397475761754553,0.016011952410737607,4821.203125,4851.765625,4607.265625,0.009611835897369803,0.06319027351499829,0.021256855938157182,4796.442708333334,4878.984375,4631.359375,0.003979439880866575,0.05765923206941803,-0.042331803971507376,5114.923958333333,5168.544791666667,4793.198958333333,-0.05226708920124412,0.021947981417246742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4905.25,4898.4,4789.9,4796.15,242564000000.0
4,2009-11-10,0.0006226091679839563,4878.6625,4944.4125,4852.362499999999,-0.012683508910310448,0.006046023972858805,0.01782351793927761,4796.214583333333,4923.78125,4668.647916666667,-0.008546531184747574,0.04563464350626134,0.020949761745885143,4781.528125000001,4889.540625,4673.515625,-0.0016035504357835295,0.044545560923421545,-0.045596759645538776,5114.923958333333,5114.923958333333,4739.578125,-0.045596759645538776,0.029986186798007353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4947.7,4881.7,4860.1,4898.9,273282000000.0
5,2009-11-11,0.02752887002009774,4869.887500000001,4948.1875,4869.887500000001,0.011269277892157481,0.02752887002009774,0.026899343687993627,4872.872916666667,4940.55625,4737.50625,0.012831298095229648,0.05624135060507829,0.04086594088908191,4807.487499999999,4927.0375,4687.9375,0.0156102932035731,0.06740970842721339,-0.02169611107366165,5114.923958333333,5114.923958333333,4739.578125,-0.02169611107366165,0.05577962173584794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016.7,5003.95,4870.05,4882.3,251116000000.0
6,2009-11-12,0.0037373008720367196,4934.209375,5007.534374999999,4921.988541666667,-0.010960359108867723,0.006229485922970124,0.01592104158239893,4875.034375,5000.959375,4833.059375000001,-0.009660021483377967,0.024744290463015295,0.038805907538062456,4767.637500000001,4966.8875,4687.9375,-0.0028664832855586075,0.056466729771887936,-0.03172558568909967,5114.923958333333,5114.923958333333,4739.578125,-0.03172558568909967,0.044955873577883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5014.4,4952.65,4924.75,5004.4,282046000000.0
7,2009-11-13,0.0028166259291324547,4984.909374999999,4992.671875,4930.571875,0.0012574679765029462,0.013868193534852358,0.010572811903005075,4946.65,5003.65,4870.65,-0.0009393143005606008,0.026341453399443715,0.014394748389944256,4928.0125,5007.912499999999,4688.3125,-0.0017896678506262864,0.06625784863956907,0.0036295101447474387,4980.871875,5088.113541666667,4712.767708333333,-0.017523889932192893,0.060724888086596485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017.9,4998.95,4942.65,4952.35,217420000000.0
8,2009-11-16,0.012759270780821508,4994.326041666666,5070.4802083333325,4994.326041666666,-0.0024514854259569674,0.012759270780821508,0.01207007018607209,4997.727083333333,5015.485416666666,4908.935416666667,0.008486632857487741,0.03037615504719482,0.01257743335611905,4995.222916666667,5039.78125,4683.314583333333,0.003624909315260494,0.08001500006005369,0.015494902687092305,4980.871875,5034.492708333333,4712.767708333333,0.004679178823255414,0.07326528974812896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5073.2,5058.05,4994.0,4996.5,218548000000.0
9,2009-11-17,0.004614010716411876,5039.0,5059.0,4999.0,0.0006424194504843772,0.012652530506101156,0.012092183242716104,5001.767708333333,5035.759375,4933.784375,0.005260502543372736,0.026037948810845535,0.0124964060852788,4999.770833333334,5042.1875,4745.270833333334,0.00397892779671527,0.06679896212457126,0.010896799188746531,5007.682291666666,5061.303125,4739.578125,0.0001870812667439381,0.06808029459373022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5074.0,5062.25,5010.15,5058.95,211034000000.0
