,Date,Close,signal,S_Return,trade_num,Return,INRClose,USDINR,Signal_backtest,units_equity,equity_allocation,cash_allocation,Strategy_Return,Market_Return
0,2010-02-01,2171.199951171875,1,,0,0.0,100179.1657470703,46.14,1,25.49351435455219,2553919.0,0.0,2553919.0,2553919.0
1,2010-02-02,2190.06005859375,1,0.00864897985832527,0,0.00864897985832527,101016.52020263672,46.125,1,25.49351435455219,2575266.1078328304,0.0,2575266.1078328304,2575266.1078328304
2,2010-02-03,2190.909912109375,1,0.0003879750520859218,0,0.0003879750520859218,100617.53771362304,45.925,1,25.49351435455219,2565094.642021945,0.0,2565094.642021945,2565094.642021945
3,2010-02-04,2125.429931640625,1,-0.030342839835523237,0,-0.030342839835523237,98269.25288940429,46.235,1,25.49351435455219,2505228.6091471477,0.0,2505228.6091471477,2505228.6091471477
4,2010-02-05,2141.1201171875,1,0.00735500865983115,0,0.00735500865983115,99872.54786621094,46.645,1,25.49351435455219,2546102.232652949,0.0,2546102.232652949,2546102.232652949
5,2010-02-08,2126.050048828125,1,-0.007063290390077354,0,-0.007063290390077354,99594.81453735351,46.845,1,25.49351435455219,2539021.8340469846,0.0,2539021.8340469846,2539021.8340469846
6,2010-02-09,2150.8701171875,1,0.011606644982819821,0,0.011606644982819821,99811.12778808594,46.405,1,25.49351435455219,2544536.419009612,0.0,2544536.419009612,2544536.419009612
7,2010-02-10,2147.8701171875,1,-0.0013957579772071686,0,-0.0013957579772071686,99585.99798339844,46.365,1,25.49351435455219,2538797.0691021737,0.0,2538797.0691021737,2538797.0691021737
8,2010-02-11,2177.409912109375,1,0.013659348763336673,0,0.013659348763336673,100933.83647583007,46.355,1,25.49351435455219,2573158.209056597,0.0,2573158.209056597,2573158.209056597
9,2010-02-12,2183.530029296875,1,0.0028067899524515955,0,0.0028067899524515955,101370.38161010742,46.425,1,25.49351435455219,2584287.278703707,0.0,2584287.278703707,2584287.278703707
10,2010-02-16,2214.18994140625,1,0.013943774990829584,0,0.013943774990829584,101753.09875732422,45.955,1,25.49351435455219,2594044.0837900117,0.0,2594044.0837900117,2594044.0837900117
11,2010-02-17,2226.2900390625,1,0.005449918774018424,0,0.005449918774018424,102798.94255371093,46.175,1,25.49351435455219,2620706.3176258155,0.0,2620706.3176258155,2620706.3176258155
12,2010-02-18,2241.7099609375,1,0.006902409622304566,0,0.006902409622304566,103690.29424316407,46.255,1,25.49351435455219,2643430.0047158436,0.0,2643430.0047158436,2643430.0047158436
13,2010-02-19,2243.8701171875,1,0.0009631558814553682,0,0.0009631558814553682,103599.48331054689,46.17,1,25.49351435455219,2641114.914901617,0.0,2641114.914901617,2641114.914901617
14,2010-02-22,2242.030029296875,1,-0.0008203874066482632,0,-0.0008203874066482632,103413.63510131836,46.125,1,25.49351435455219,2636376.990911882,0.0,2636376.990911882,2636376.990911882
15,2010-02-23,2213.43994140625,1,-0.012833878579187906,0,-0.012833878579187906,102426.93328857422,46.275,1,25.49351435455219,2611222.4940850264,0.0,2611222.4940850264,2611222.4940850264
16,2010-02-24,2235.89990234375,1,0.010095947938857668,0,0.010095947938857668,103510.9859790039,46.295,1,25.49351435455219,2638858.8069095863,0.0,2638858.8069095863,2638858.8069095863
17,2010-02-25,2234.219970703125,1,-0.0007516271453224917,0,-0.0007516271453224917,103634.29334106445,46.385,1,25.49351435455219,2642002.344914299,0.0,2642002.344914299,2642002.344914299
18,2010-02-26,2238.260009765625,1,0.0018066219095418954,0,0.0018066219095418954,103194.97775024413,46.105,1,25.49351435455219,2630802.6465935423,0.0,2630802.6465935423,2630802.6465935423
