,Feature,BestTrainReturn,TestReturn
0,IBS,3.3878447943036534,0.37216905326271776
1,CB,3.757498368486382,0.37521886208713684
2,Momentum5,3.6702707410446873,0.37521886208713684
3,Momentum10,2.976572219998816,0.37534744948700727
4,Momentum20,3.726631029171684,0.4018489156897911
5,Momentum50,3.7107443841831493,0.4475573587893482
6,Momentum100,0.5812642074951668,0.0
7,Momentum150,3.5517968811682596,0.3564380506861833
8,Momentum200,0.6573246655526859,0.0030641899874073175
9,Momentum300,0.40486678104536655,0.0
10,VolumePOC10,0.705960723082431,0.0
11,VolumePOC21,2.50663466873965,0.28640619092749975
12,VolumePOC63,0.5161440611185502,0.0
13,VolumePOC126,2.9499516385414957,0.3092073340162491
14,VolumePOC252,0.6230979742944471,0.0
15,VolumeVAH10,2.844494383292024,0.38685980826520505
16,VolumeVAH21,0.5803727105299197,0.0
17,VolumeVAH63,3.1520019959473853,0.22383457075149682
18,VolumeVAH126,2.8757081990909725,0.3092073340162491
19,VolumeVAH252,0.47184847624654735,0.0
20,VolumeVAL10,3.3822228743165015,0.34156084790997343
21,VolumeVAL21,3.2414703239738856,0.3541117073526445
22,VolumeVAL63,3.3089605960280597,0.5046219548241262
23,VolumeVAL126,0.7098642477124468,0.0
24,VolumeVAL252,0.5235006657858732,0.0
25,VolumePOLV10,3.5195534031815576,0.07893625206759047
26,VolumePOLV21,0.6427598405005592,0.0
27,VolumePOLV63,3.030815708425976,0.0
28,VolumePOLV126,0.45306489899850666,0.0
29,VolumePOLV252,1.712513810185401,0.3627984683195118
30,Fisher5,0.8372272264664264,0.0
31,Fisher10,2.913808648221127,0.38341422779085876
32,Fisher50,0.5039419264376497,0.0
33,Fisher100,2.5827439104145795,0.3719909797888259
34,Fisher150,3.0942852955594633,0.3643939203407025
35,Fisher300,1.850767790589202,0.49055154511747134
